File:,Videos/Steel2.mp4,t0:,13
Height:,1080.0,Width:,1920
Frames:,3601.0,FPS:,1.0
X,Y
764.5472972972973,704.4234234234234
764.5725971370143,702.9345603271984
764.4935064935065,702.4458874458874
764.4935064935065,702.3549783549782
764.4407894736842,702.3991228070175
764.4753086419753,702.7119341563786
764.8765432098766,702.5308641975308
764.5187637969094,702.774834437086
764.5570175438596,702.8464912280701
764.8768939393939,703.5284090909091
766.040899795501,702.6728016359917
766.0376984126984,703.186507936508
766.0227272727273,703.4375
765.2388888888889,703.3018518518518
765.0611111111111,703.3592592592593
765.6607142857143,702.7321428571429
765.9084507042254,703.0774647887324
766.0297239915074,702.6390658174097
766.4109589041096,702.582191780822
766.4285714285714,702.8484848484848
766.4633123689727,702.9706498951782
766.4946921443736,703.1507430997876
766.4683544303797,703.132911392405
766.5262054507336,703.1656184486372
766.6043010752687,703.12688172043
766.5400843881856,703.1962025316456
766.292735042735,703.9935897435897
766.72688172043,703.1397849462365
766.562358276644,703.4240362811792
767.0,703.4
767.4415584415584,703.1233766233767
767.7452107279693,703.4578544061302
768.0123456790124,703.0905349794239
767.5688622754491,702.6447105788423
768.1356589147285,703.0755813953489
768.5265392781316,703.0233545647558
768.8925318761384,702.952641165756
769.0331588132634,702.8813263525304
768.5128205128204,703.5305719921104
768.5,703.1875
768.7403100775192,703.4186046511628
769.081300813008,703.3821138211382
769.7676767676767,703.1595959595959
769.4873417721519,703.1983122362869
770.0625,703.0340909090909
770.3015873015872,702.8367346938776
770.031847133758,702.8471337579617
770.5,703.1875
770.4744376278119,703.1206543967279
770.4742063492063,703.5
770.6942528735632,703.6183908045977
771.5113438045374,703.6666666666665
772.0952380952381,703.2666666666667
772.1063063063062,703.2540540540541
772.5,703.5
772.566866267465,702.9241516966067
772.6107899807321,702.9672447013487
773.0073664825045,703.0902394106814
773.0633946830266,702.678936605317
773.0337078651686,703.2116104868913
774.0860215053764,703.2724014336917
774.3888888888889,703.0308641975308
775.2329931972789,703.0714285714286
774.8064516129032,703.2939068100358
775.1844863731656,703.0670859538783
775.5889464594127,703.3851468048358
775.8927875243664,703.0779727095517
775.8968253968253,703.1488095238095
776.4078947368421,702.7456140350877
776.5693581780538,703.2194616977225
776.605316973415,703.0633946830266
777.1966292134831,703.123595505618
777.9171842650103,702.8178053830227
778.211111111111,702.7
778.647509578544,703.448275862069
778.7621832358674,703.0721247563353
779.3012048192771,703.3674698795181
779.5543859649122,703.2929824561403
779.8390151515151,702.9924242424241
779.9861932938855,702.9368836291912
780.3414634146342,702.9817073170732
780.7307692307693,702.8910256410256
781.1647058823529,703.0117647058823
781.83429672447,702.9132947976879
782.189898989899,702.7595959595959
782.45,702.9854166666667
782.9943820224719,702.8408239700374
782.5198412698412,703.297619047619
782.7148362235067,703.393063583815
783.3554327808471,703.0552486187845
783.1888246628131,703.1136801541426
784.0139720558882,703.8722554890219
784.6399286987522,702.8948306595364
785.1078998073217,702.8439306358382
786.2629399585921,703.0227743271221
786.040899795501,702.8220858895705
786.4133333333333,702.6866666666666
787.0064102564103,702.7072649572649
787.6903353057198,703.0019723865878
787.9980039920159,703.1337325349301
788.0636942675159,702.832271762208
788.367619047619,703.2685714285715
788.3734939759037,703.0361445783133
788.8979166666666,702.8208333333333
789.6263157894737,702.9473684210526
789.8895348837209,703.0813953488372
790.3734939759037,702.9859437751004
790.6376811594203,703.008281573499
790.58,703.5
791.0921052631579,703.4868421052631
791.7743271221532,702.8654244306418
792.4408602150537,703.105376344086
792.5,703.0441767068273
792.8670634920634,703.2321428571429
